S,T,R,ST
Dewey Dell,me,smell,positive
Dewey Dell,barn,tell,positive
Dewey Dell,Darl,say,positive
Dewey Dell,Darl,leaping,positive
Dewey Dell,Darl,seen,positive
Dewey Dell,Darl,running,positive
Dewey Dell,Darl,pauses,positive
Dewey Dell,Darl,emerge,positive
Dewey Dell,Darl,pauses,positive
Dewey Dell,Darl,glare,positive
Dewey Dell,Darl,leaps,positive
Dewey Dell,Darl,running,positive
Dewey Dell,Darl,comes on,positive
Dewey Dell,Darl,cries,positive
Dewey Dell,Darl,follow,positive
Dewey Dell,Mack,struggling with,positive
Dewey Dell,Mack,watching,positive
Dewey Dell,Mack,leans,positive
Dewey Dell,Mack,whirls,positive
Dewey Dell,Mack,slides past,positive
Mack,me,stares at,neutral
Mack,nightshirt,rips off,negative
Mack,mule,flings,neutral
Jewel,Mack,yelling at,negative
Mack,Cow,Back,neutral
Jewel,Cow,yelling at,negative
Jewel,hallway,looks like,neutral
Jewel,barn,turns back into,neutral
Jewel,coffin,stoops to,neutral
Jewel,Dewey Dell,calls,neutral
Dewey Dell,Jewel,cries,neutral
Jewel,Addie Bundren,would have needed,neutral
Jewel,VARDAMAN,looking at,neutral
VARDAMAN,Darl,saw,neutral
They,Darl,carried,neutral
barn,swirling up,went,neutral
Cash,leg,turned,neutral
Dewey Dell,Cash,said,neutral
Cash,foot,looks like,neutral
pa,Cash,have to bust off,neutral
pa,Gillespie,put it on,neutral
Gillespie,pa,said,neutral
Jewel,Dewey Dell,put,neutral
Dewey Dell,medicine,put on,neutral
Jewel,back,looks like,neutral
Cash,leg,looked like,neutral
they,Darl,said,neutral
He,apple tree,under,positive
He,cat,keep away,positive
He,Darl,said,positive
moonlight,Darl,dappled on,positive
moonlight,her,dappled on,positive
barn,red,is,positive
barn,swirling,went,positive
stars,run backward,making,positive
train,heart,hurt,negative
I,Dewey Dell,says,positive
WE,signs,passing,positive
WE,drug-stores,passing,positive
WE,clothing stores,passing,positive
WE,patent medicine,passing,positive
WE,garages,passing,positive
WE,cafés,passing,positive
WE,mile-boards,diminishing,positive
WE,Jefferson,is,positive
Vardaman,flesh,lost,negative
Vardaman,face,has,neutral
smoke,low and flat,seemingly,neutral
smoke,unmoving,seemingly,neutral
I,wagon,get into,positive
wagon,Cash,lies on,neutral
cement,shards,cracked about,neutral
mules,droop,rattling and clanking down,negative
we,Cash,take to,positive
Jewel,shirt,stains with,negative
Life,created in,was,positive
Life,blew up on,blew up on,positive
Dewey Dell,sits on,sits on,neutral
we,reach,reach,neutral
Dewey Dell,begins to look about,begins to look about,neutral
Dewey Dell,says,says,neutral
Pa,looks at,looks at,neutral
Pa,does not check,does not check,neutral
Dewey Dell,descend,descend,neutral
Dewey Dell,does not look back,does not look back,neutral
Vardaman,watches,watches,neutral
Vardaman,says,says,neutral
we,reach,reach,neutral
Pa,does not check,does not check,neutral
Dewey Dell,disappears among,disappears among,neutral
Pa,does not answer,does not answer,neutral
we,cannot hear,cannot hear,neutral
we,ought to done,ought to done,neutral
I,Darl,say,neutral
I,say,say,neutral
Jewel,says,says,neutral
car,comes over,comes over,neutral
car,begins to sound,begins to sound,neutral
car,passes,passes,neutral
Vardaman,watches,watches,neutral
Vardaman,says,says,neutral
we,ought to done,ought to done,neutral
pa,says,says,neutral
Jewel,says,says,neutral
pa,says,says,neutral
Jewel,says,says,neutral
Jewel,says,says,neutral
pa,says,says,neutral
Dewey Dell,package,carrying,positive
Dewey Dell,Sunday dress,wears,positive
Dewey Dell,beads,wears,positive
Dewey Dell,shoes,wears,positive
Dewey Dell,stockings,wears,positive
pa,Dewey Dell,told,negative
Vardaman,Darl,asks,neutral
hill,red sand,is bordered by,neutral
hill,negro cabins,is bordered by,neutral
telephone lines,hill,run against,neutral
clock,court-house,lifts among,neutral
wheels,whisper,as though,neutral
wagon,wheels,moves on,neutral
Jewel,looks,from side to side,neutral
Jewel,head,turns forward,neutral
Jewel,ears,takes on,neutral
negroes,walk,beside,neutral
white man,walks,ahead of,neutral
negroes,heads,turn suddenly,neutral
Jewel,whirls,toward,negative
Jewel,whirls,blind,negative
Darl,Cash,says,neutral
I,Jewel,grasp at,neutral
Jewel,says,panting,negative
man,edges around,begins to,neutral
man,watches,watching,neutral
man,shuts the knife,shuts,neutral
Jewel,says,Hush,neutral
I,says,talk,positive
I,helped,action,positive
I,watched,action,positive
I,come back,action,positive
I,waited,action,positive
I,turned out,action,positive
I,locked,action,positive
I,left,action,positive
I,put,action,positive
she,come in,action,positive
I,let,action,positive
I,looked,action,positive
I,locked,action,positive
I,turned off,action,positive
I,went on back,action,positive
she,said,talk,positive
I,gave,action,positive
she,held,action,positive
she,says,talk,positive
I,says,talk,positive
I,says,talk,positive
I,hear,action,positive
she,comes out,action,positive
Dewey Dell,Vardaman,sibling,positive
Dewey Dell,Cash,sibling,positive
Dewey Dell,Darl,sibling,positive
Dewey Dell,Jackson,location,neutral
Dewey Dell,bananas,preference,positive
Dewey Dell,train,destination,neutral
Dewey Dell,Jewel,sibling,positive
Dewey Dell,Cora Tull,acquaintance,neutral
Dewey Dell,Mrs. Tull,acquaintance,neutral
Dewey Dell,cakes,possession,neutral
Dewey Dell,Pa,family,positive
Dewey Dell,God,belief,positive
Jewel,team,got,positive
Jewel,wagon,fixed,positive
Jewel,team,come,positive
Dewey Dell,bananas,eating,positive
Vardaman,bananas,eating,positive
Jewel,team,got,positive
Jewel,team,fixed,positive
Dewey Dell,mouth,half open,positive
Dewey Dell,Vardaman,mouth,positive
Mrs. Bundren,grip,carrying,positive
Mrs. Bundren,grip,carrying,positive
grip,graphophones,was,positive
record,mail order,come from,positive
us,house,setting in,positive
Darl,world,is not,negative
Darl,life,is not,negative
Cash,Jewel,and,positive
Vardaman,Dewey Dell,and,positive
Jewel,Vardaman,and,positive
Mrs. Bundren,Bundren,Meet,positive
